"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","High_satisfaction","Low_satisfaction","MonthlyIncome_scaled","NumCompaniesWorked_scaled","TotalWorkingYears_scaled","TrainingTimesLastYear_scaled","YearsAtCompany_scaled","YearsInCurrentRole_scaled","YearsSinceLastPromotion_scaled","YearsWithCurrManager_scaled","Age_scaled","DailyRate_scaled","DistanceFromHome_scaled","HourlyRate_scaled","MonthlyRate_scaled","PercentSalaryHike_scaled","MonthlyIncome_discret","NumCompaniesWorked_discret","TotalWorkingYears_discret","TrainingTimesLastYear_discret","YearsAtCompany_discret","YearsInCurrentRole_discret","YearsSinceLastPromotion_discret","YearsWithCurrManager_discret","Age_discret","DailyRate_discret","DistanceFromHome_discret","HourlyRate_discret","MonthlyRate_discret","PercentSalaryHike_discret"
44,"1","Travel_Frequently",920,"Research & Development",24,"3","Life Sciences","4","Male",43,"3",1,"Laboratory Technician","3","Divorced",3161,19920,3,"Y","1",22,"4","4","1",19,0,"1",1,0,0,0,"1","0",0.223049049152393,0.577350269189626,0.689202437604511,0,0.158113883008419,0,0,0,0.619047619047619,0.58554044380816,0.821428571428571,0.185714285714286,0.715759887572777,0.785714285714286,"[0,0.272)","[0.43,0.666)","[0.629,1]","[0,0.312)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.448,0.681)","[0.483,0.739)","[0.729,1]","[0,0.261)","[0.497,0.745)","[0.62,1]"
38,"0","Travel_Rarely",688,"Research & Development",23,"4","Life Sciences","4","Male",82,"3",2,"Healthcare Representative","4","Divorced",5745,18899,9,"Y","0",14,"3","2","1",10,2,"3",2,2,1,2,"1","0",0.401548463611158,1,0.5,0.577350269189626,0.223606797749979,0.333333333333333,0.258198889747161,0.342997170285018,0.476190476190476,0.419470293486042,0.785714285714286,0.742857142857143,0.674764103593656,0.214285714285714,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.448,0.681)","[0.236,0.483)","[0.729,1]","[0.509,0.756)","[0.497,0.745)","[0.117,0.332)"
26,"1","Travel_Rarely",1449,"Research & Development",16,"4","Medical","1","Male",45,"3",1,"Laboratory Technician","2","Divorced",2373,14180,2,"Y","1",13,"3","4","1",5,2,"3",3,2,0,2,"0","0",0.154566479391618,0.471404520791032,0.353553390593274,0.577350269189626,0.273861278752583,0.333333333333333,0,0.342997170285018,0.19047619047619,0.96420901932713,0.535714285714286,0.214285714285714,0.485284079502108,0.142857142857143,"[0,0.272)","[0.43,0.666)","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0,0.255)","[0.739,1]","[0.43,0.729)","[0,0.261)","[0.247,0.497)","[0.117,0.332)"
28,"0","Travel_Rarely",1117,"Research & Development",8,"2","Life Sciences","4","Female",66,"3",1,"Research Scientist","4","Single",3310,4488,1,"Y","0",21,"4","4","0",5,3,"3",5,3,0,2,"1","0",0.234994253995529,0.333333333333333,0.353553390593274,0.707106781186548,0.353553390593274,0.408248290463863,0,0.342997170285018,0.238095238095238,0.72655690765927,0.25,0.514285714285714,0.0961252760489861,0.714285714285714,"[0,0.272)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0,0.255)","[0.483,0.739)","[0.161,0.43)","[0.509,0.756)","[0,0.247)","[0.62,1]"
49,"0","Travel_Frequently",636,"Research & Development",10,"4","Life Sciences","3","Female",35,"3",5,"Research Director","1","Single",18665,25594,9,"Y","1",11,"3","4","0",22,4,"3",3,2,1,2,"0","0",0.956244632439542,1,0.741619848709566,0.816496580927726,0.273861278752583,0.333333333333333,0.258198889747161,0.342997170285018,0.738095238095238,0.382247673586256,0.321428571428571,0.0714285714285714,0.94358562537643,0,"[0.744,1]","[0.666,1]","[0.629,1]","[0.72,0.88)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.681,1]","[0.236,0.483)","[0.161,0.43)","[0,0.261)","[0.745,1]","[0,0.117)"
36,"0","Travel_Rarely",506,"Research & Development",3,"3","Technical Degree","3","Male",30,"3",2,"Research Scientist","2","Single",4485,26285,4,"Y","0",12,"3","4","0",10,2,"3",8,0,7,7,"0","0",0.321061556811375,0.666666666666667,0.5,0.577350269189626,0.447213595499958,0,0.683130051063973,0.641688947919748,0.428571428571429,0.289191123836793,0.0714285714285714,0,0.971331058020478,0.0714285714285714,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0,0.181)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.236,0.483)","[0,0.161)","[0,0.261)","[0.745,1]","[0,0.117)"
31,"0","Travel_Frequently",444,"Sales",5,"3","Marketing","4","Female",84,"3",1,"Sales Representative","2","Divorced",2789,3909,1,"Y","0",11,"3","3","1",2,5,"2",2,2,2,2,"0","0",0.191934664640256,0.333333333333333,0.223606797749979,0.912870929175277,0.223606797749979,0.333333333333333,0.365148371670111,0.342997170285018,0.30952380952381,0.244810307802434,0.142857142857143,0.771428571428571,0.072876932342903,0,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.88,1]","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0.236,0.483)","[0,0.161)","[0.756,1]","[0,0.247)","[0,0.117)"
26,"1","Travel_Rarely",950,"Sales",4,"4","Marketing","4","Male",48,"2",2,"Sales Executive","4","Single",5828,8450,1,"Y","1",12,"3","2","0",8,0,"3",8,7,7,4,"1","0",0.406523796610299,0.333333333333333,0.447213595499958,0,0.447213595499958,0.623609564462324,0.683130051063973,0.485071250072666,0.19047619047619,0.607015032211883,0.107142857142857,0.257142857142857,0.255209797229472,0.0714285714285714,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0,0.312)","[0.284,0.448)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0,0.255)","[0.483,0.739)","[0,0.161)","[0,0.261)","[0.247,0.497)","[0,0.117)"
37,"0","Travel_Frequently",889,"Research & Development",9,"3","Medical","2","Male",53,"3",1,"Research Scientist","4","Married",2326,11411,1,"Y","1",12,"3","3","3",4,3,"2",4,2,1,2,"0","0",0.150145028437575,0.333333333333333,0.316227766016838,0.707106781186548,0.316227766016838,0.333333333333333,0.258198889747161,0.342997170285018,0.452380952380952,0.563350035790981,0.285714285714286,0.328571428571429,0.374101586026902,0.0714285714285714,"[0,0.272)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.448,0.681)","[0.483,0.739)","[0.161,0.43)","[0.261,0.509)","[0.247,0.497)","[0,0.117)"
42,"0","Travel_Frequently",555,"Sales",26,"3","Marketing","3","Female",77,"3",4,"Sales Executive","2","Married",13525,14864,5,"Y","0",14,"3","4","1",23,2,"4",20,4,4,8,"0","0",0.770906647822637,0.74535599249993,0.758287544405155,0.577350269189626,0.707106781186547,0.471404520791032,0.516397779494322,0.685994340570035,0.571428571428571,0.324266284896206,0.892857142857143,0.671428571428571,0.512748444087533,0.214285714285714,"[0.744,1]","[0.666,1]","[0.629,1]","[0.312,0.72)","[0.633,1]","[0.181,0.501)","[0.46,0.749)","[0.424,0.687)","[0.448,0.681)","[0.236,0.483)","[0.729,1]","[0.509,0.756)","[0.497,0.745)","[0.117,0.332)"
18,"1","Travel_Rarely",230,"Research & Development",3,"3","Life Sciences","3","Male",54,"3",1,"Laboratory Technician","3","Single",1420,25233,1,"Y","0",13,"3","3","0",0,2,"3",0,0,0,0,"0","0",0.0539713802563195,0.333333333333333,0,0.577350269189626,0,0,0,0,0,0.0916249105225483,0.0714285714285714,0.342857142857143,0.929090544067456,0.142857142857143,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0,0.255)","[0,0.236)","[0,0.161)","[0.261,0.509)","[0.745,1]","[0.117,0.332)"
35,"0","Travel_Rarely",1232,"Sales",16,"3","Marketing","3","Male",96,"3",3,"Sales Executive","2","Married",8020,5100,0,"Y","0",15,"3","3","2",12,3,"2",11,9,6,9,"0","0",0.527023068911022,0,0.547722557505166,0.707106781186548,0.524404424085076,0.707106781186548,0.632455532033676,0.727606875108999,0.404761904761905,0.808876163206872,0.535714285714286,0.942857142857143,0.120698654888577,0.285714285714286,"[0.484,0.744)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.46,0.749)","[0.687,0.843)","[0.255,0.448)","[0.739,1]","[0.43,0.729)","[0.756,1]","[0,0.247)","[0.117,0.332)"
36,"0","Travel_Frequently",566,"Research & Development",18,"4","Life Sciences","3","Male",81,"4",1,"Laboratory Technician","4","Married",3688,7122,4,"Y","0",18,"3","4","2",4,2,"3",1,0,0,0,"1","0",0.264143521139829,0.666666666666667,0.316227766016838,0.577350269189626,0.158113883008419,0,0,0,0.428571428571429,0.332140300644238,0.607142857142857,0.728571428571429,0.201887171250753,0.5,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.236,0.483)","[0.43,0.729)","[0.509,0.756)","[0,0.247)","[0.332,0.62)"
51,"0","Travel_Rarely",1302,"Research & Development",2,"3","Medical","4","Male",84,"1",2,"Manufacturing Director","2","Divorced",5482,16321,5,"Y","0",18,"3","4","1",13,3,"3",4,1,1,2,"1","0",0.385541169332962,0.74535599249993,0.570087712549569,0.707106781186548,0.316227766016838,0.235702260395516,0.258198889747161,0.342997170285018,0.785714285714286,0.85898353614889,0.0357142857142857,0.771428571428571,0.571250752860871,0.5,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.681,1]","[0.739,1]","[0,0.161)","[0.756,1]","[0.497,0.745)","[0.332,0.62)"
41,"0","Travel_Rarely",334,"Sales",2,"4","Life Sciences","4","Male",88,"3",4,"Manager","2","Single",16015,15896,1,"Y","0",19,"3","2","0",22,2,"3",22,10,0,4,"0","0",0.864413857721435,0.333333333333333,0.741619848709566,0.577350269189626,0.741619848709566,0.74535599249993,0,0.485071250072666,0.547619047619048,0.166070150322119,0.0357142857142857,0.828571428571429,0.554185906444489,0.571428571428571,"[0.744,1]","[0.167,0.43)","[0.629,1]","[0.312,0.72)","[0.633,1]","[0.501,0.748)","[0,0.153)","[0.424,0.687)","[0.448,0.681)","[0,0.236)","[0,0.161)","[0.756,1]","[0.497,0.745)","[0.332,0.62)"
18,"0","Travel_Rarely",812,"Sales",10,"3","Medical","4","Female",69,"2",1,"Sales Representative","3","Single",1200,9724,1,"Y","0",12,"3","1","0",0,2,"3",0,0,0,0,"0","0",0.0262305109833807,0.333333333333333,0,0.577350269189626,0,0,0,0,0,0.50823192555476,0.321428571428571,0.557142857142857,0.306364183898815,0.0714285714285714,"[0,0.272)","[0.167,0.43)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0,0.181)","[0,0.153)","[0,0.424)","[0,0.255)","[0.483,0.739)","[0.161,0.43)","[0.509,0.756)","[0.247,0.497)","[0,0.117)"
28,"0","Travel_Rarely",1476,"Research & Development",16,"2","Medical","2","Male",68,"4",2,"Healthcare Representative","1","Single",5661,4824,0,"Y","0",19,"3","3","0",9,2,"3",8,3,0,7,"0","0",0.396476457220581,0,0.474341649025257,0.577350269189626,0.447213595499958,0.408248290463863,0,0.641688947919748,0.238095238095238,0.98353614889048,0.535714285714286,0.542857142857143,0.109616542862879,0.571428571428571,"[0.272,0.484)","[0,0.167)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0.424,0.687)","[0,0.255)","[0.739,1]","[0.43,0.729)","[0.509,0.756)","[0,0.247)","[0.332,0.62)"
31,"0","Travel_Rarely",218,"Sales",7,"3","Technical Degree","2","Male",100,"4",2,"Sales Executive","4","Married",6929,12241,4,"Y","0",11,"3","2","1",10,3,"2",8,7,7,7,"0","0",0.469442937499852,0.666666666666667,0.5,0.707106781186548,0.447213595499958,0.623609564462324,0.683130051063973,0.641688947919748,0.30952380952381,0.0830350751610594,0.214285714285714,1,0.407428227263602,0,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0,0.236)","[0.161,0.43)","[0.756,1]","[0.247,0.497)","[0,0.117)"
39,"0","Travel_Rarely",1132,"Research & Development",1,"3","Medical","3","Male",48,"4",3,"Healthcare Representative","4","Divorced",9613,10942,0,"Y","0",17,"3","1","3",19,5,"2",18,10,3,7,"0","0",0.604462356804483,0,0.689202437604511,0.912870929175277,0.670820393249937,0.74535599249993,0.447213595499958,0.641688947919748,0.5,0.737294201861131,0,0.257142857142857,0.355270026099177,0.428571428571429,"[0.484,0.744)","[0,0.167)","[0.629,1]","[0.88,1]","[0.633,1]","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.448,0.681)","[0.483,0.739)","[0,0.161)","[0,0.261)","[0.247,0.497)","[0.332,0.62)"
36,"0","Non-Travel",1105,"Research & Development",24,"4","Life Sciences","2","Female",47,"3",2,"Laboratory Technician","2","Married",5674,6927,7,"Y","0",15,"3","3","1",11,3,"3",9,8,0,8,"0","0",0.397263859933415,0.881917103688197,0.524404424085076,0.707106781186548,0.474341649025257,0.666666666666667,0,0.685994340570035,0.428571428571429,0.717967072297781,0.821428571428571,0.242857142857143,0.194057418189119,0.285714285714286,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0,0.153)","[0.424,0.687)","[0.255,0.448)","[0.483,0.739)","[0.729,1]","[0,0.261)","[0,0.247)","[0.117,0.332)"
32,"0","Travel_Rarely",906,"Sales",7,"3","Life Sciences","4","Male",91,"2",2,"Sales Executive","3","Married",5484,16985,1,"Y","0",14,"3","3","1",13,3,"2",13,8,4,8,"0","0",0.385664329458225,0.333333333333333,0.570087712549569,0.707106781186548,0.570087712549569,0.666666666666667,0.516397779494322,0.685994340570035,0.333333333333333,0.575518969219757,0.214285714285714,0.871428571428571,0.597912065850231,0.214285714285714,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.483,0.739)","[0.161,0.43)","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
38,"0","Travel_Rarely",849,"Research & Development",25,"2","Life Sciences","1","Female",81,"2",3,"Research Director","2","Married",12061,26707,3,"Y","0",17,"3","3","1",19,2,"3",10,8,0,1,"0","0",0.711861790529523,0.577350269189626,0.689202437604511,0.577350269189626,0.5,0.666666666666667,0,0.242535625036333,0.476190476190476,0.534717251252684,0.857142857142857,0.728571428571429,0.98827544669745,0.428571428571429,"[0.484,0.744)","[0.43,0.666)","[0.629,1]","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0,0.153)","[0,0.424)","[0.448,0.681)","[0.483,0.739)","[0.729,1]","[0.509,0.756)","[0.745,1]","[0.332,0.62)"
58,"0","Non-Travel",390,"Research & Development",1,"4","Life Sciences","4","Male",32,"1",2,"Healthcare Representative","3","Divorced",5660,17056,2,"Y","1",13,"3","4","1",12,2,"3",5,3,1,2,"1","0",0.396415850351317,0.471404520791032,0.547722557505166,0.577350269189626,0.353553390593274,0.408248290463863,0.258198889747161,0.342997170285018,0.952380952380952,0.206156048675734,0,0.0285714285714286,0.600762899016262,0.142857142857143,"[0.272,0.484)","[0.43,0.666)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.681,1]","[0,0.236)","[0,0.161)","[0,0.261)","[0.497,0.745)","[0.117,0.332)"
31,"0","Travel_Rarely",691,"Research & Development",5,"4","Technical Degree","3","Male",86,"3",1,"Research Scientist","4","Married",4821,10077,0,"Y","1",12,"3","3","1",6,4,"3",5,2,0,3,"0","0",0.34352585228446,0,0.387298334620742,0.816496580927726,0.353553390593274,0.333333333333333,0,0.420084025208403,0.30952380952381,0.421617752326414,0.142857142857143,0.8,0.320538044569364,0.0714285714285714,"[0.272,0.484)","[0,0.167)","[0.281,0.441)","[0.72,0.88)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0,0.424)","[0.255,0.448)","[0.236,0.483)","[0,0.161)","[0.756,1]","[0.247,0.497)","[0,0.117)"
31,"0","Travel_Rarely",106,"Human Resources",2,"3","Human Resources","1","Male",62,"2",2,"Human Resources","1","Married",6410,17822,3,"Y","0",12,"3","4","0",9,1,"3",2,2,1,0,"0","1",0.440459346229072,0.577350269189626,0.474341649025257,0.408248290463863,0.223606797749979,0.333333333333333,0.258198889747161,0,0.30952380952381,0.00286327845382963,0.0357142857142857,0.457142857142857,0.631519775145553,0.0714285714285714,"[0.272,0.484)","[0.43,0.666)","[0.441,0.629)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0,0.236)","[0,0.161)","[0.261,0.509)","[0.497,0.745)","[0,0.117)"
45,"0","Travel_Frequently",1249,"Research & Development",7,"3","Life Sciences","1","Male",97,"3",3,"Laboratory Technician","1","Divorced",5210,20308,1,"Y","0",18,"3","1","1",24,2,"3",24,9,9,11,"0","1",0.368576757159636,0.333333333333333,0.774596669241483,0.577350269189626,0.774596669241483,0.707106781186548,0.774596669241483,0.804399666539844,0.642857142857143,0.821045096635648,0.214285714285714,0.957142857142857,0.731339088536438,0.5,"[0.272,0.484)","[0.167,0.43)","[0.629,1]","[0.312,0.72)","[0.633,1]","[0.501,0.748)","[0.749,1]","[0.687,0.843)","[0.448,0.681)","[0.739,1]","[0.161,0.43)","[0.756,1]","[0.497,0.745)","[0.332,0.62)"
31,"0","Travel_Rarely",192,"Research & Development",2,"4","Life Sciences","3","Male",32,"3",1,"Research Scientist","4","Divorced",2695,7747,0,"Y","1",18,"3","2","1",3,2,"1",2,2,2,2,"0","0",0.183748898608456,0,0.273861278752583,0.577350269189626,0.223606797749979,0.333333333333333,0.365148371670111,0.342997170285018,0.30952380952381,0.0644237652111668,0.0357142857142857,0.0285714285714286,0.226982533627786,0.5,"[0,0.272)","[0,0.167)","[0,0.281)","[0.312,0.72)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0.255,0.448)","[0,0.236)","[0,0.161)","[0,0.261)","[0,0.247)","[0.332,0.62)"
33,"0","Travel_Frequently",553,"Research & Development",5,"4","Life Sciences","4","Female",74,"3",3,"Manager","2","Married",11878,23364,6,"Y","0",11,"3","2","2",12,2,"3",10,6,8,8,"0","0",0.704234584023204,0.816496580927726,0.547722557505166,0.577350269189626,0.5,0.577350269189626,0.730296743340222,0.685994340570035,0.357142857142857,0.322834645669291,0.142857142857143,0.628571428571429,0.854045372415178,0,"[0.484,0.744)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.46,0.749)","[0.424,0.687)","[0.255,0.448)","[0.236,0.483)","[0,0.161)","[0.509,0.756)","[0.745,1]","[0,0.117)"
39,"0","Travel_Rarely",117,"Research & Development",10,"1","Medical","3","Male",99,"3",4,"Manager","1","Married",17068,5355,1,"Y","1",14,"3","4","0",21,3,"3",21,9,11,10,"0","0",0.901751353986068,0.333333333333333,0.724568837309472,0.707106781186548,0.724568837309472,0.707106781186548,0.856348838577675,0.766964988847371,0.5,0.0107372942018611,0.321428571428571,0.985714285714286,0.130937562738406,0.214285714285714,"[0.744,1]","[0.167,0.43)","[0.629,1]","[0.312,0.72)","[0.633,1]","[0.501,0.748)","[0.749,1]","[0.687,0.843)","[0.448,0.681)","[0,0.236)","[0.161,0.43)","[0.756,1]","[0,0.247)","[0.117,0.332)"
43,"0","Travel_Frequently",185,"Research & Development",10,"4","Life Sciences","3","Female",33,"3",1,"Laboratory Technician","4","Single",2455,10675,0,"Y","0",19,"3","1","0",9,5,"3",8,7,1,7,"0","0",0.162176925736766,0,0.474341649025257,0.912870929175277,0.447213595499958,0.623609564462324,0.258198889747161,0.641688947919748,0.595238095238095,0.0594130279169649,0.321428571428571,0.0428571428571429,0.344549287291708,0.571428571428571,"[0,0.272)","[0,0.167)","[0.441,0.629)","[0.88,1]","[0.284,0.448)","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.448,0.681)","[0,0.236)","[0.161,0.43)","[0,0.261)","[0.247,0.497)","[0.332,0.62)"
49,"0","Travel_Rarely",1091,"Research & Development",1,"2","Technical Degree","3","Female",90,"2",4,"Healthcare Representative","3","Single",13964,17810,7,"Y","1",12,"3","4","0",25,2,"3",7,1,0,7,"0","0",0.787981743331552,0.881917103688197,0.790569415042095,0.577350269189626,0.418330013267038,0.235702260395516,0,0.641688947919748,0.738095238095238,0.707945597709377,0,0.857142857142857,0.631037944187914,0.0714285714285714,"[0.744,1]","[0.666,1]","[0.629,1]","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0.424,0.687)","[0.681,1]","[0.483,0.739)","[0,0.161)","[0.756,1]","[0.497,0.745)","[0,0.117)"
52,"1","Travel_Rarely",723,"Research & Development",8,"4","Medical","3","Male",85,"2",2,"Research Scientist","2","Married",4941,17747,2,"Y","0",15,"3","1","0",11,3,"2",8,2,7,7,"0","0",0.351358061740055,0.471404520791032,0.524404424085076,0.707106781186548,0.447213595499958,0.333333333333333,0.683130051063973,0.641688947919748,0.80952380952381,0.444523979957051,0.25,0.785714285714286,0.628508331660309,0.285714285714286,"[0.272,0.484)","[0.43,0.666)","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.46,0.749)","[0.424,0.687)","[0.681,1]","[0.236,0.483)","[0.161,0.43)","[0.756,1]","[0.497,0.745)","[0.117,0.332)"
27,"0","Travel_Rarely",1220,"Research & Development",5,"3","Life Sciences","3","Female",85,"3",1,"Research Scientist","2","Single",2478,20938,1,"Y","1",12,"3","2","0",4,2,"2",4,3,1,2,"0","0",0.164288652400924,0.333333333333333,0.316227766016838,0.577350269189626,0.316227766016838,0.408248290463863,0.258198889747161,0.342997170285018,0.214285714285714,0.800286327845383,0.142857142857143,0.785714285714286,0.756635213812487,0.0714285714285714,"[0,0.272)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0,0.255)","[0.739,1]","[0,0.161)","[0.756,1]","[0.745,1]","[0,0.117)"
32,"0","Travel_Rarely",588,"Sales",8,"2","Technical Degree","3","Female",65,"2",2,"Sales Executive","2","Married",5228,24624,1,"Y","1",11,"3","4","0",13,2,"3",13,12,11,9,"0","0",0.369712887781742,0.333333333333333,0.570087712549569,0.577350269189626,0.570087712549569,0.816496580927726,0.856348838577675,0.727606875108999,0.333333333333333,0.347888332140301,0.25,0.5,0.904637622967276,0,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.748,1]","[0.749,1]","[0.687,0.843)","[0.255,0.448)","[0.236,0.483)","[0.161,0.43)","[0.261,0.509)","[0.745,1]","[0,0.117)"
27,"0","Travel_Rarely",1377,"Sales",2,"3","Life Sciences","4","Male",74,"3",2,"Sales Executive","3","Single",4478,5242,1,"Y","1",11,"3","1","0",5,3,"3",5,4,0,4,"0","0",0.320584757499269,0.333333333333333,0.353553390593274,0.707106781186548,0.353553390593274,0.471404520791032,0,0.485071250072666,0.214285714285714,0.912670007158196,0.0357142857142857,0.628571428571429,0.126400321220638,0,"[0.272,0.484)","[0.167,0.43)","[0.281,0.441)","[0.312,0.72)","[0.284,0.448)","[0.181,0.501)","[0,0.153)","[0.424,0.687)","[0,0.255)","[0.739,1]","[0,0.161)","[0.509,0.756)","[0,0.247)","[0,0.117)"
31,"0","Travel_Rarely",691,"Sales",7,"3","Marketing","4","Male",73,"3",2,"Sales Executive","4","Divorced",7547,7143,4,"Y","0",12,"3","4","3",13,3,"3",7,7,1,7,"1","0",0.502573395625237,0.666666666666667,0.570087712549569,0.707106781186548,0.418330013267038,0.623609564462324,0.258198889747161,0.641688947919748,0.30952380952381,0.421617752326414,0.214285714285714,0.614285714285714,0.202730375426621,0.0714285714285714,"[0.484,0.744)","[0.666,1]","[0.441,0.629)","[0.312,0.72)","[0.284,0.448)","[0.501,0.748)","[0.153,0.46)","[0.424,0.687)","[0.255,0.448)","[0.236,0.483)","[0.161,0.43)","[0.509,0.756)","[0,0.247)","[0,0.117)"
32,"0","Travel_Rarely",1018,"Research & Development",2,"4","Medical","1","Female",74,"4",2,"Research Scientist","4","Single",5055,10557,7,"Y","0",16,"3","3","0",10,0,"2",7,7,0,7,"0","0",0.358711035801786,0.881917103688197,0.5,0,0.418330013267038,0.623609564462324,0,0.641688947919748,0.333333333333333,0.655690765926986,0.0357142857142857,0.628571428571429,0.339811282874925,0.357142857142857,"[0.272,0.484)","[0.666,1]","[0.441,0.629)","[0,0.312)","[0.284,0.448)","[0.501,0.748)","[0,0.153)","[0.424,0.687)","[0.255,0.448)","[0.483,0.739)","[0,0.161)","[0.509,0.756)","[0.247,0.497)","[0.332,0.62)"
28,"1","Travel_Rarely",1157,"Research & Development",2,"4","Medical","1","Male",84,"1",1,"Research Scientist","4","Married",3464,24737,5,"Y","1",13,"3","4","0",5,4,"2",3,2,2,2,"1","0",0.247061007261966,0.74535599249993,0.353553390593274,0.816496580927726,0.273861278752583,0.333333333333333,0.365148371670111,0.342997170285018,0.238095238095238,0.755189692197566,0.0357142857142857,0.771428571428571,0.909174864485043,0.142857142857143,"[0,0.272)","[0.666,1]","[0.281,0.441)","[0.72,0.88)","[0,0.284)","[0.181,0.501)","[0.153,0.46)","[0,0.424)","[0,0.255)","[0.739,1]","[0,0.161)","[0.756,1]","[0.745,1]","[0.117,0.332)"
30,"0","Travel_Rarely",1275,"Research & Development",28,"2","Medical","4","Female",64,"3",2,"Research Scientist","4","Married",5775,11934,1,"Y","0",13,"3","4","2",11,2,"3",10,8,1,9,"1","0",0.403350898679952,0.333333333333333,0.524404424085076,0.577350269189626,0.5,0.666666666666667,0.258198889747161,0.727606875108999,0.285714285714286,0.83965640658554,0.964285714285714,0.485714285714286,0.395101385264003,0.142857142857143,"[0.272,0.484)","[0.167,0.43)","[0.441,0.629)","[0.312,0.72)","[0.448,0.633)","[0.501,0.748)","[0.153,0.46)","[0.687,0.843)","[0.255,0.448)","[0.739,1]","[0.729,1]","[0.261,0.509)","[0.247,0.497)","[0.117,0.332)"
